Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-05-01,MRNA,7.1,9.9,16.0,3.7
2025-06-01,MRNA,4.1,9.9,16.0,3.7
2025-07-01,MRNA,8.8,9.9,16.0,3.7
2025-08-01,MRNA,4.8,9.9,16.0,3.7
2025-09-01,MRNA,3.9,9.9,16.0,3.7
2025-10-01,MRNA,5.2,9.9,16.0,3.7
2025-11-01,MRNA,4.8,9.9,16.0,3.7
2025-12-01,MRNA,12.0,9.9,16.0,3.7
2026-01-01,MRNA,25.4,9.9,16.0,3.7
2026-02-01,MRNA,7.1,9.9,16.0,3.7
2024-11-01,MRSH,17.7,19.5,27.1,12.0
2024-12-01,MRSH,23.9,19.5,27.1,12.0
2025-01-01,MRSH,17.3,19.5,27.1,12.0
2025-02-01,MRSH,23.2,19.5,27.1,12.0
2025-03-01,MRSH,17.7,19.5,27.1,12.0
2025-04-01,MRSH,38.1,19.5,27.1,12.0
2025-05-01,MRSH,14.6,19.5,27.1,12.0
2025-06-01,MRSH,22.1,19.5,27.1,12.0
2025-07-01,MRSH,21.3,19.5,27.1,12.0
2025-08-01,MRSH,17.5,19.5,27.1,12.0
2025-09-01,MRSH,12.2,19.5,27.1,12.0
2025-10-01,MRSH,31.7,19.5,27.1,12.0
2025-11-01,MRSH,11.2,19.5,27.1,12.0
2025-12-01,MRSH,8.8,19.5,27.1,12.0
2026-01-01,MRSH,13.3,19.5,27.1,12.0
2026-02-01,MRSH,22.5,19.5,27.1,12.0
2024-11-01,MS,20.3,17.1,21.1,13.1
2024-12-01,MS,12.9,17.1,21.1,13.1
2025-01-01,MS,19.0,17.1,21.1,13.1
2025-02-01,MS,15.7,17.1,21.1,13.1
2025-03-01,MS,24.8,17.1,21.1,13.1
2025-04-01,MS,26.0,17.1,21.1,13.1
2025-05-01,MS,18.4,17.1,21.1,13.1
2025-06-01,MS,15.5,17.1,21.1,13.1
2025-07-01,MS,10.2,17.1,21.1,13.1
2025-08-01,MS,14.6,17.1,21.1,13.1
2025-09-01,MS,18.3,17.1,21.1,13.1
2025-10-01,MS,15.3,17.1,21.1,13.1
2025-11-01,MS,16.5,17.1,21.1,13.1
2025-12-01,MS,14.6,17.1,21.1,13.1
2026-01-01,MS,15.5,17.1,21.1,13.1
2026-02-01,MS,15.4,17.1,21.1,13.1
2024-11-01,MSCI,61.8,56.1,74.2,38.0
2024-12-01,MSCI,49.2,56.1,74.2,38.0
2025-01-01,MSCI,64.7,56.1,74.2,38.0
2025-02-01,MSCI,31.2,56.1,74.2,38.0
2025-03-01,MSCI,62.8,56.1,74.2,38.0
2025-04-01,MSCI,90.0,56.1,74.2,38.0
2025-05-01,MSCI,38.8,56.1,74.2,38.0
2025-06-01,MSCI,39.4,56.1,74.2,38.0
2025-07-01,MSCI,68.3,56.1,74.2,38.0
2025-08-01,MSCI,38.7,56.1,74.2,38.0
2025-09-01,MSCI,37.8,56.1,74.2,38.0
2025-10-01,MSCI,69.1,56.1,74.2,38.0
2025-11-01,MSCI,41.0,56.1,74.2,38.0
2025-12-01,MSCI,57.5,56.1,74.2,38.0
2026-01-01,MSCI,64.4,56.1,74.2,38.0
2026-02-01,MSCI,113.3,56.1,74.2,38.0
2024-11-01,MSFT,23.8,41.9,55.8,28.1
2024-12-01,MSFT,35.5,41.9,55.8,28.1
2025-01-01,MSFT,37.7,41.9,55.8,28.1
2025-02-01,MSFT,32.7,41.9,55.8,28.1
2025-03-01,MSFT,34.9,41.9,55.8,28.1
2025-04-01,MSFT,51.9,41.9,55.8,28.1
2025-05-01,MSFT,37.6,41.9,55.8,28.1
2025-06-01,MSFT,43.9,41.9,55.8,28.1
2025-07-01,MSFT,66.8,41.9,55.8,28.1
2025-08-01,MSFT,39.7,41.9,55.8,28.1
2025-09-01,MSFT,26.9,41.9,55.8,28.1
2025-10-01,MSFT,47.7,41.9,55.8,28.1
2025-11-01,MSFT,60.1,41.9,55.8,28.1
2025-12-01,MSFT,22.6,41.9,55.8,28.1
2026-01-01,MSFT,68.7,41.9,55.8,28.1
2026-02-01,MSFT,38.4,41.9,55.8,28.1
2024-11-01,MSI,55.9,41.7,54.1,29.3
2024-12-01,MSI,41.6,41.7,54.1,29.3
2025-01-01,MSI,32.0,41.7,54.1,29.3
2025-02-01,MSI,67.0,41.7,54.1,29.3
2025-03-01,MSI,36.5,41.7,54.1,29.3
2025-04-01,MSI,52.7,41.7,54.1,29.3
2025-05-01,MSI,47.4,41.7,54.1,29.3
2025-06-01,MSI,21.2,41.7,54.1,29.3
2025-07-01,MSI,33.1,41.7,54.1,29.3
2025-08-01,MSI,44.5,41.7,54.1,29.3
2025-09-01,MSI,39.3,41.7,54.1,29.3
2025-10-01,MSI,60.6,41.7,54.1,29.3
2025-11-01,MSI,41.0,41.7,54.1,29.3
2025-12-01,MSI,26.3,41.7,54.1,29.3
2026-01-01,MSI,33.5,41.7,54.1,29.3
2026-02-01,MSI,25.3,41.7,54.1,29.3
2024-11-01,MTB,36.5,21.7,28.8,14.6
2024-12-01,MTB,35.6,21.7,28.8,14.6
2025-01-01,MTB,17.6,21.7,28.8,14.6
2025-02-01,MTB,14.2,21.7,28.8,14.6
2025-03-01,MTB,24.2,21.7,28.8,14.6
2025-04-01,MTB,29.3,21.7,28.8,14.6
2025-05-01,MTB,21.1,21.7,28.8,14.6
2025-06-01,MTB,18.9,21.7,28.8,14.6
2025-07-01,MTB,15.9,21.7,28.8,14.6
2025-08-01,MTB,20.6,21.7,28.8,14.6
2025-09-01,MTB,11.3,21.7,28.8,14.6
2025-10-01,MTB,24.1,21.7,28.8,14.6
2025-11-01,MTB,12.9,21.7,28.8,14.6
2025-12-01,MTB,20.5,21.7,28.8,14.6
2026-01-01,MTB,23.2,21.7,28.8,14.6
2026-02-01,MTB,18.8,21.7,28.8,14.6
2024-11-01,MTCH,8.0,4.4,5.8,3.0
2024-12-01,MTCH,4.9,4.4,5.8,3.0
2025-01-01,MTCH,5.4,4.4,5.8,3.0
2025-02-01,MTCH,5.4,4.4,5.8,3.0
2025-03-01,MTCH,3.8,4.4,5.8,3.0
2025-04-01,MTCH,5.3,4.4,5.8,3.0
2025-05-01,MTCH,4.3,4.4,5.8,3.0
2025-06-01,MTCH,2.8,4.4,5.8,3.0
2025-07-01,MTCH,3.9,4.4,5.8,3.0
2025-08-01,MTCH,6.0,4.4,5.8,3.0
2025-09-01,MTCH,3.6,4.4,5.8,3.0
2025-10-01,MTCH,4.4,4.4,5.8,3.0
2025-11-01,MTCH,2.8,4.4,5.8,3.0
2025-12-01,MTCH,2.8,4.4,5.8,3.0
2026-01-01,MTCH,2.7,4.4,5.8,3.0
2026-02-01,MTCH,4.6,4.4,5.8,3.0
2024-11-01,MTD,275.9,170.1,219.7,120.6
2024-12-01,MTD,95.8,170.1,219.7,120.6
2025-01-01,MTD,184.2,170.1,219.7,120.6
2025-02-01,MTD,207.4,170.1,219.7,120.6
2025-03-01,MTD,175.3,170.1,219.7,120.6
2025-04-01,MTD,233.3,170.1,219.7,120.6
2025-05-01,MTD,162.4,170.1,219.7,120.6
2025-06-01,MTD,112.7,170.1,219.7,120.6
2025-07-01,MTD,129.4,170.1,219.7,120.6
2025-08-01,MTD,205.3,170.1,219.7,120.6
